date,close,diff,open,high,low,volume,Fluctuation,MA20,MA60,MA120,MA20P,MA60P,MA120P,ATR,slowk,slowd,RSI,ADX,macd,macdsignal,macdhist,aroondown,aroonup,MOM,VAR,WILLR
2017-03-02 00:00:00,167500,5000,174000,174500,167500,96053,-0.029413885,176775,182833.3333,180758.3333,0.947532174,0.916134913,0.926651607,4824.942544,19.44444444,25.55555556,34.18388312,20.08542648,-3342.072794,-2683.72666,-658.3461342,100,0,-11.60949868,3860000,-100
2017-03-03 00:00:00,163500,4000,167500,168000,163000,87165,-0.024170361,176100,182683.3333,180541.6667,0.928449744,0.894991333,0.905608124,4830.777793,12.56038647,21.31642512,30.29329509,22.14416067,-3919.936972,-2930.968723,-988.9682494,100,7.142857143,-13.72031662,13460000,-97.5
2017-03-06 00:00:00,163000,500,163000,163500,160000,61480,-0.00306279,175300,182408.3333,180345.8333,0.929834569,0.893599525,0.903819051,4786.418533,8.345827086,13.45021933,29.83617356,24.42284302,-4367.893955,-3218.353769,-1149.540186,100,0,-12.60053619,16260000,-86.04651163
2017-03-07 00:00:00,164000,1000,163500,166000,162000,43143,0.006116227,174300,182091.6667,180175,0.940906483,0.900645279,0.910226169,4760.204582,17.54122939,12.81581432,32.04480131,25.62792947,-4589.308754,-3492.544766,-1096.763988,92.85714286,0,-11.11111111,12740000,-79.48717949
2017-03-08 00:00:00,162500,1500,163500,164000,160500,74990,-0.009188426,173075,181741.6667,179983.3333,0.938899321,0.894126278,0.902861376,4718.197763,21.83908046,15.90871231,30.49419219,26.9598393,-4830.140192,-3760.063851,-1070.076341,85.71428571,0,-12.39892183,3140000,-86.84210526
2017-03-09 00:00:00,162500,0,163500,164000,161500,41480,0,172075,181341.6667,179825,0.944355659,0.896098525,0.903656333,4644.257837,25.3591954,21.57983508,30.49419219,28.19661272,-4963.781458,-4000.807373,-962.9740859,78.57142857,0,-10.46831956,340000,-86.11111111
2017-03-10 00:00:00,163500,1000,164000,165500,160500,102057,0.006134989,171450,180933.3333,179687.5,0.953630796,0.903647752,0.909913043,4656.115909,35.60823755,27.60217114,33.00083386,28.77197621,-4932.146765,-4187.075251,-745.0715138,71.42857143,14.28571429,-9.166666667,340000,-80.55555556
2017-03-13 00:00:00,167500,4000,162500,168000,162500,78412,0.024170361,170800,180591.6667,179579.1667,0.980679157,0.927506806,0.932736258,4684.245379,60.97222222,40.64655172,42.00971897,28.42301165,-4532.066629,-4256.073527,-275.9931021,64.28571429,7.142857143,-7.202216066,3400000,-58.33333333
2017-03-14 00:00:00,167500,0,167500,168000,165000,80879,0,170150,180333.3333,179458.3333,0.984425507,0.92883549,0.933364291,4628.103866,81.66666667,59.41570881,42.00971897,28.09897314,-4166.966048,-4238.252031,71.28598322,57.14285714,0,-7.967032967,5360000,-57.14285714
2017-03-15 00:00:00,166500,1000,166000,168000,165000,68490,-0.005988042,169550,180000,179337.5,0.982011206,0.925,0.928417091,4573.833738,88.88888889,77.17592593,40.43337489,27.79808023,-3913.203871,-4173.242399,260.0385279,50,0,-8.011049724,4400000,-58.06451613
